,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
34,Bezpośrednio   Kawalerka  Strusia 25m2,: Nowa Huta,1.0,228 000 ,25.0,9120.0,https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#3f7ebb237a,2019-03-07 15:26:01.294507,"Krakow , : Nowa Huta",Strusia,Kraków Strusia,"Osiedle Józefa Strusia, Bieńczyce, Kraków, województwo małopolskie, Polska",ulica,"(50.08848715, 20.0098691963755, 0.0)",50.08848715,20.0098691963755,0.0
47,2 pokojowe z Ogródkiem  Gotowe VI 2019  Żabiniec,: Żabiniec,2.0,385 000 ,56.5,6814.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-gotowe-vi-2019-zabiniec-ID3WYQ4.html#3f7ebb237a,2019-03-07 15:26:01.295509,"Krakow , : Żabiniec",Żabiniec,Kraków Żabiniec,"Żabiniec, Casa Feliz, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska",ulica,"(50.083371, 19.9417329, 0.0)",50.083371,19.9417329,0.0
48,Z widokiem na Wawel  winda w kamienicy  antresola,: Kazimierz,1.0,390 000 ,30.0,13000.0,https://www.otodom.pl/oferta/z-widokiem-na-wawel-winda-w-kamienicy-antresola-ID3WYHa.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : Kazimierz",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.9354553913683, 0.0)",50.05465045,19.9354553913683,0.0
54,1 pok Agatowa 27m2 Nowe,: ocień,3.0,188 000 ,27.0,6963.0,https://www.otodom.pl/oferta/1-pok-agatowa-27m2-nowe-ID3WYvY.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : ocień",Agatowa,Kraków Agatowa,"Agatowa, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-798, Polska",ulica,"(50.0201836, 20.0473713, 0.0)",50.0201836,20.0473713,0.0
56,3 pok. Agatowa,: ocień,3.0,275 000 ,49.0,5612.0,https://www.otodom.pl/oferta/3-pok-agatowa-ID3WYvQ.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : ocień",Agatowa,Kraków Agatowa,"Agatowa, Złocień, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-798, Polska",ulica,"(50.0201836, 20.0473713, 0.0)",50.0201836,20.0473713,0.0
57,Kapelanka 6a   high standard   parking place!,: Dębniki,2.0,545 000 ,49.8,10944.0,https://www.otodom.pl/oferta/kapelanka-6a-high-standard-parking-place-ID3WYuc.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : Dębniki",Kapelanka,Kraków Kapelanka,"Kapelanka, Zakrzówek, Dębniki, Kraków, województwo małopolskie, 30-346, Polska",ulica,"(50.044749, 19.9219956, 0.0)",50.044749,19.9219956,0.0
59,Prokocim  3 pokoje,: Bieżanów-Prokocim,3.0,315 000 ,51.2,6152.0,https://www.otodom.pl/oferta/prokocim-3-pokoje-ID3WYmU.html#3f7ebb237a,2019-03-07 15:26:01.297515,"Krakow , : Bieżanów-Prokocim",Prokocimia,Kraków Prokocimia,"Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",ulica,"(50.0226748, 19.9921741, 0.0)",50.0226748,19.9921741,0.0
65,2 pokoje 37m2  Na Lotnisku.,: Górka Narodowa,2.0,265 000 ,36.35,7290.0,https://www.otodom.pl/oferta/2-pokoje-37m2-os-na-lotnisku-ID3WVza.html#85fbb29208,2019-03-07 15:26:02.253062,"Krakow , : Górka Narodowa",Lotnisko,Kraków Lotnisko,"Kraków Lotnisko, Kapitana Mieczysława Medweckiego, Balice, gmina Zabierzów, powiat krakowski, województwo małopolskie, 32-083, Polska",ulica,"(50.0709059, 19.8011655991676, 0.0)",50.0709059,19.8011655991676,0.0
71,Mieszkanie w centrum Krakowa 69m2  3 pokoje,: Grzegórzki,3.0,600 000 ,69.0,8696.0,https://www.otodom.pl/oferta/mieszkanie-w-centrum-krakowa-69m2-3-pokoje-ID3WY68.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : Grzegórzki",Krakowa,Kraków Krakowa,"Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska",ulica,"(50.0707757, 19.9248071, 0.0)",50.0707757,19.9248071,0.0
75,3 pokoje z Ogrodem w malowniczej okolicy Ruczaju,: Ruczaj,3.0,447 000 ,77.0,5805.0,https://www.otodom.pl/oferta/3-pokoje-z-ogrodem-w-malowniczej-okolicy-ruczaju-ID3WY5O.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : Ruczaj",Ogrodem,Kraków Ogrodem,"Za Ogrodem, Grado schody i balutrady, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-990, Polska",ulica,"(50.0986422, 20.1175645, 0.0)",50.0986422,20.1175645,0.0
76,Dom w cenie mieszkania! ok.   Łokietka,: małopolskie,3.0,384 960 ,64.0,6015.0,https://www.otodom.pl/oferta/dom-w-cenie-mieszkania-ok-ul-lokietka-ID3WY5K.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : małopolskie",Łokietka,Kraków Łokietka,"Łokietka, Władysława Łokietka, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-279, Polska",ulica,"(50.085377, 19.9235123, 0.0)",50.085377,19.9235123,0.0
78,3 pokojowe mieszkanie   Zielone Bronowice,: Bronowice Wielkie,3.0,340 000 ,50.0,6800.0,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-zielone-bronowice-ID3WY4Q.html#85fbb29208,2019-03-07 15:26:02.254066,"Krakow , : Bronowice Wielkie",Zielona,Kraków Zielona,"Zielona, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-623, Polska",ulica,"(50.020073, 19.9496437, 0.0)",50.020073,19.9496437,0.0
88,Obozowa  38m2  2 Pokoje  Balkon,: Borek Fałęcki,2.0,299 000 ,38.0,7868.0,https://www.otodom.pl/oferta/obozowa-38m2-2-pokoje-balkon-ID3WXEU.html#85fbb29208,2019-03-07 15:26:02.255068,"Krakow , : Borek Fałęcki",Obozowa,Kraków Obozowa,"Obozowa, Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-430, Polska",ulica,"(50.0206194, 19.9145455, 0.0)",50.0206194,19.9145455,0.0
