,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
2294,Mieszkanie 2 pokoje   Lipska  Płaszów,: Płaszów,2.0,315 000 ,47.3,6660.0,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-ul-lipska-plaszow-ID3XbfO.html#948935011d,2019-03-26 16:02:06.465130,"Krakow , : Płaszów",Lipska,Kraków Lipska,"Lipska, Osiedle Lipska, Podgórze, Kraków, województwo małopolskie, 30-721, Polska",ulica,"(50.0426134, 19.9993048, 0.0)",50.0426134,19.9993048,0.0
2304,Kawalarka w Loftach przy Nowym Kleparzu!,: Krowodrza,1.0,329 000 ,23.3,14120.0,https://www.otodom.pl/oferta/kawalarka-w-loftach-przy-nowym-kleparzu-ID3XaZG.html#731d207af4,2019-03-26 16:02:08.116904,"Krakow , : Krowodrza",Nowy,Kraków Nowy,"Kraków, województwo małopolskie, Polska",ulica,"(50.0469432, 19.997153435836697, 0.0)",50.0469432,19.997153435836697,0.0
2310,Dwupoziomowe  72 z widokiem na Kraków  Ruczaj,: Ruczaj,3.0,697 000 ,72.0,9681.0,https://www.otodom.pl/oferta/dwupoziomowe-72m-z-widokiem-na-krakow-ruczaj-ID3XaMM.html#731d207af4,2019-03-26 16:02:08.116904,"Krakow , : Ruczaj",Ruczaj,Kraków Ruczaj,"Ruczaj, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-410, Polska",ulica,"(50.0250823, 19.9239263, 0.0)",50.0250823,19.9239263,0.0
2315,Piękne 4 Pokojowe  Garaż  Osiedle Domków Cisza,: małopolskie,4.0,720 000 ,88.0,8182.0,https://www.otodom.pl/oferta/piekne-4-pokojowe-garaz-osiedle-domkow-cisza-ID3XaF6.html#731d207af4,2019-03-26 16:02:08.117909,"Krakow , : małopolskie",Osiedle,Kraków Osiedle,"Osiedle, Łęg, Czyżyny, Kraków, województwo małopolskie, 31-587, Polska",ulica,"(50.0572333, 20.0151003, 0.0)",50.0572333,20.0151003,0.0
2317,Petrażyckiego 2pokoje  kuchnia  balkon  50m2,: Opatkowice,2.0,300 000 ,50.0,6000.0,https://www.otodom.pl/oferta/petrazyckiego-2pokoje-kuchnia-balkon-50m2-ID3XaDC.html#731d207af4,2019-03-26 16:02:08.117909,"Krakow , : Opatkowice",Petrażyckiego,Kraków Petrażyckiego,"Leona Petrażyckiego, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska",ulica,"(49.9827685, 19.8841141, 0.0)",49.9827685,19.8841141,0.0
2329,2 pokoje w samym sercu Starego Podgórza! 31m2,: Stare Podgórze,2.0,246 000 ,31.0,7935.0,https://www.otodom.pl/oferta/2-pokoje-w-samym-sercu-starego-podgorza-31m2-ID3Xawu.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Podgórze",Sarego,Kraków Sarego,"Józefa Sarego, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 31-047, Polska",ulica,"(50.0567673, 19.9425266, 0.0)",50.0567673,19.9425266,0.0
2339,stare miasto Kazimierz na inwestycje,: Stare Miasto,2.0,538 000 ,51.57,10432.0,https://www.otodom.pl/oferta/stare-miasto-kazimierz-na-inwestycje-ID3XakM.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Miasto",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
2340,stare miasto Kazimierz na inwestycje,: Stare Miasto,1.0,338 000 ,26.2,12901.0,https://www.otodom.pl/oferta/stare-miasto-kazimierz-na-inwestycje-ID3XakI.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Miasto",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
2341,stare miasto Kazimierz na inwestycje,: Stare Miasto,1.0,358 000 ,26.8,13358.0,https://www.otodom.pl/oferta/stare-miasto-kazimierz-na-inwestycje-ID3XakA.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Miasto",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
2344,3 pokoje  Ruczaj   57 m2,: Ruczaj,3.0,399 000 ,57.0,7000.0,https://www.otodom.pl/oferta/3-pokoje-ruczaj-57-m2-ID3XaeI.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Ruczaj",Ruczaj,Kraków Ruczaj,"Ruczaj, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-410, Polska",ulica,"(50.0250823, 19.9239263, 0.0)",50.0250823,19.9239263,0.0
2345,3 pok. po remoncie   Krakowiaków,: Nowa Huta,3.0,377 000 ,51.6,7306.0,https://www.otodom.pl/oferta/3-pok-po-remoncie-os-krakowiakow-ID3Xa6s.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Nowa Huta",Krakowiaków,Kraków Krakowiaków,"Osiedle Krakowiaków, Nowa Huta, Kraków, województwo małopolskie, Polska",ulica,"(50.0829927, 20.0378038, 0.0)",50.0829927,20.0378038,0.0
2346,stare miasto Kazimierz na inwestycje,: Stare Miasto,2.0,488 000 ,47.6,10252.0,https://www.otodom.pl/oferta/stare-miasto-kazimierz-na-inwestycje-ID3Xa5V.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Miasto",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
2347,stare miasto Kazimierz na inwestycje,: Stare Miasto,1.0,338 000 ,28.4,11901.0,https://www.otodom.pl/oferta/stare-miasto-kazimierz-na-inwestycje-ID3Xa5O.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Miasto",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
2348,stare miasto Kazimierz na inwestycje,: Stare Miasto,1.0,318 000 ,26.65,11932.0,https://www.otodom.pl/oferta/stare-miasto-kazimierz-na-inwestycje-ID3Xa5S.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Miasto",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
2349,stare miasto Kazimierz na inwestycje,: Stare Miasto,1.0,348 000 ,31.0,11226.0,https://www.otodom.pl/oferta/stare-miasto-kazimierz-na-inwestycje-ID3Xa5K.html#acddc40820,2019-03-26 16:02:09.759914,"Krakow , : Stare Miasto",Kazimierza,Kraków Kazimierza,"Kościół pw. Świętego Kazimierza Królewicza, 4, Reformacka, Stare Miasto, Kraków, województwo małopolskie, 31-012, Polska",ulica,"(50.0648696, 19.936230887154693, 0.0)",50.0648696,19.936230887154693,0.0
