opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data
Kawalerka Nowa Inwestycja Bez Pcc Kraków Bieżanów;: ocień;1 pokój;183 000 ;27 ;6 778 /;https://www.otodom.pl/oferta/kawalerka-nowa-inwestycja-bez-pcc-krakow-biezanow-ID3WXUU.html#85fbb29208;2019-03-07 15:26:02.255068
Atrakcyjne mieszkanie 3 pokoje, Oś.Oświecenia;: Mistrzejowice;3 pokoje;439 000 ;56,39 ;7 785 /;https://www.otodom.pl/oferta/atrakcyjne-mieszkanie-3-pokoje-os-oswiecenia-ID3WXQQ.html#85fbb29208;2019-03-07 15:26:02.255068
Obozowa, 38m2, 2 Pokoje, Balkon;: Borek Fałęcki;2 pokoje;299 000 ;38 ;7 868 /;https://www.otodom.pl/oferta/obozowa-38m2-2-pokoje-balkon-ID3WXEU.html#85fbb29208;2019-03-07 15:26:02.255068
Mieszkanie w cichej i zielonej okolicy;: Łagiewniki-Borek Fałęcki;2 pokoje;340 000 ;49 ;6 939 /;https://www.otodom.pl/oferta/mieszkanie-w-cichej-i-zielonej-okolicy-ID3WXCv.html#85fbb29208;2019-03-07 15:26:02.255068
w sąsiedztwie Rynku Głównego / 2 miejsca postojowe;: Stare Miasto;4 pokoje;777 000 ;87,20 ;8 911 /;https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#d245b9f81f;2019-03-07 15:26:03.119372
Apartament u stóp Wawelu;: Stare Miasto;2 pokoje;745 000 ;52,50 ;14 190 /;https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#d245b9f81f;2019-03-07 15:26:03.119372
Bezpośrednio - 2 pokoje Nowa Huta 37m2;: Nowa Huta;2 pokoje;234 000 ;37 ;6 324 /;https://www.otodom.pl/oferta/bezposrednio-2-pokoje-nowa-huta-37m2-ID3WYov.html#d245b9f81f;2019-03-07 15:26:03.120374
Bezpośrednio - Kawalerka os.Strusia 25m2;: Nowa Huta;1 pokój;228 000 ;25 ;9 120 /;https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#d245b9f81f;2019-03-07 15:26:03.120374
Olsza II - kawalerka z miejscem postojowym;: Olsza;1 pokój;203 899 ;22,91 ;8 900 /;https://www.otodom.pl/oferta/olsza-ii-kawalerka-z-miejscem-postojowym-ID3WZqU.html#d245b9f81f;2019-03-07 15:26:03.120374
Mieszkanie w centrum Krakowa 69m2, 3 pokoje;: Grzegórzki;3 pokoje;600 000 ;69 ;8 696 /;https://www.otodom.pl/oferta/mieszkanie-w-centrum-krakowa-69m2-3-pokoje-ID3WY68.html#d245b9f81f;2019-03-07 15:26:03.120374
Przytulne mieszkanie bezpośrednio od właściciela.;: małopolskie;2 pokoje;215 000 ;30 ;7 167 /;https://www.otodom.pl/oferta/przytulne-mieszkanie-bezposrednio-od-wlasciciela-ID3WVDq.html#d245b9f81f;2019-03-07 15:26:03.120374
3-pokojowe nowoczesne, piękne! mieszkanie - Kraków;: Wola Duchacka;3 pokoje;430 000 ;50,83 ;8 460 /;https://www.otodom.pl/oferta/3-pokojowe-nowoczesne-piekne-mieszkanie-krakow-ID3WXyv.html#d245b9f81f;2019-03-07 15:26:03.120374
3 pokoje do remontu z ogrzewaniem Mpec;: Prądnik Czerwony;3 pokoje;319 000 ;47 ;6 787 /;https://www.otodom.pl/oferta/3-pokoje-do-remontu-z-ogrzewaniem-mpec-ID3WXy4.html#d245b9f81f;2019-03-07 15:26:03.120374
2 pok. mieszkanie 33 mkw, Mistrzejowice;: Mistrzejowice;2 pokoje;234 430 ;33,49 ;7 000 /;https://www.otodom.pl/oferta/2-pok-mieszkanie-33-mkw-mistrzejowice-ID3WXlV.html#d245b9f81f;2019-03-07 15:26:03.120374
Sprzedam mieszkanie 67 m2;: Nowa Huta;3 pokoje;499 000 ;67 ;7 448 /;https://www.otodom.pl/oferta/sprzedam-mieszkanie-67-m2-ID3WXg0.html#d245b9f81f;2019-03-07 15:26:03.120374
Mieszkanie, 57 , Kraków;: Ruczaj;3 pokoje;430 000 ;57 ;7 544 /;https://www.otodom.pl/oferta/mieszkanie-57-m-krakow-ID3WVQo.html#d245b9f81f;2019-03-07 15:26:03.120374
Mieszkanie, 48 , Kraków;: Bronowice;2 pokoje;399 500 ;48 ;8 323 /;https://www.otodom.pl/oferta/mieszkanie-48-m-krakow-ID3WVQs.html#d245b9f81f;2019-03-07 15:26:03.121377
Piękny 5-pokojowy apartament z dużym tarasem!;: Prądnik Biały;5 pokoi;1 192 000 ;150 ;7 947 /;https://www.otodom.pl/oferta/piekny-5-pokojowy-apartament-z-duzym-tarasem-ID3WXfy.html#d245b9f81f;2019-03-07 15:26:03.121377
Dla Inwestora | Kazimierz | ROI 12 % | 135 m2;: Kazimierz;6 pokoi;2 161 440 ;135,09 ;16 000 /;https://www.otodom.pl/oferta/dla-inwestora-kazimierz-roi-12-135-m2-ID3WXfm.html#d245b9f81f;2019-03-07 15:26:03.121377
Mieszkanie 3 pok. Prokocim- Bieżanów;: Bieżanów-Prokocim;3 pokoje;480 000 ;63 ;7 619 /;https://www.otodom.pl/oferta/mieszkanie-3-pok-prokocim-biezanow-ID3WXcM.html#d245b9f81f;2019-03-07 15:26:03.121377
Kawalerka z tarasem, gotowa do odbioru;: Stare Podgórze;1 pokój;310 000 ;30 ;10 333 /;https://www.otodom.pl/oferta/kawalerka-z-tarasem-gotowa-do-odbioru-ID3WX6k.html#d245b9f81f;2019-03-07 15:26:03.121377
